S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
117,IIFL Holdings,24788.54,1612.14
118,L & T Infotech,24626.1,1883.8
120,Emami,23720.37,756.64
121,Cummins India,23562.0,1354.67
122,Berger Paints,23537.8,1338.63
127,3M India,23101.19,645.77
129,Edelweiss.Fin.,22915.42,2069.45
130,Gillette India,21976.74,407.52
132,Adani Transmissi,21677.26,1782.29
133,Balkrishna Inds,21372.18,1106.31
134,Cholaman.Inv.&Fn,20832.4,1404.33
135,Indraprastha Gas,20779.52,1183.9
137,Glaxosmi. Pharma,20489.35,703.91
138,PNB Housing,20037.85,1438.49
139,RBL Bank,19748.79,1150.79
140,Castrol India,18803.22,970.3
142,GRUH Finance,18535.09,428.47
143,KIOCL,18534.15,442.81
144,Voltas,18453.44,1374.67
145,Godrej Inds.,18298.09,2458.48
146,Whirlpool India,18254.06,958.01
147,Sundaram Finance,18159.85,677.23
148,Federal Bank,18086.81,2501.2
151,Tata Chemicals,17941.47,2573.91
152,Exide Inds.,17930.75,2276.54
153,IDFC Bank,17762.77,2283.72
154,NBCC,17712.0,1321.5
156,The Ramco Cement,17246.58,1056.36
157,Dewan Hsg. Fin.,17097.54,2631.6
158,MphasiS,16728.78,1660.69
159,Apollo Hospitals,16683.97,1896.14
160,Reliance Nip.Lif,16655.58,394.0
161,Tata Global,16589.24,1730.39
162,Godrej Propert.,16545.51,627.03
163,AU Small Finance,16453.67,464.17
164,Indian Hotels,16150.13,1197.26
165,Motil.Oswal.Fin.,16108.15,728.63
166,H U D C O,16065.25,1064.49
167,Oberoi Realty,16044.51,356.2
169,SJVN,15512.35,436.58
171,Supreme Inds.,15248.94,1278.3
172,Muthoot Finance,15226.72,1553.71
173,NLC India,15201.61,1706.48
176,Info Edg.(India),14845.05,1527.516
177,Glenmark Pharma.,14785.53,2203.67
178,Jubilant Life,14775.08,2067.76
179,Crompton Gr. Con,14638.57,938.19
180,Honeywell Auto,14526.24,721.48
181,Natco Pharma,14456.9,1265.928
182,PC Jeweller,14334.81,2644.89
183,Quess Corp,14330.19,1583.95
184,CRISIL,14164.81,441.13
185,WABCO India,13843.64,649.91
186,Amara Raja Batt.,13774.32,1553.46
189,Sterlite Tech.,13743.95,835.18
190,AIA Engg.,13593.35,572.16
191,KRBL,13492.55,783.51
192,Max Financial,13401.76,891.7319999999997
193,Indiabulls Vent.,13396.15,238.43
194,Century Textiles,13369.97,2069.39
195,Jubilant Food.,13178.43,795.17
196,Bayer Crop Sci.,13166.76,2290.796
197,Graphite India,13129.9,933.06
198,JSW Energy,13104.0,1993.2
201,CESC,12996.56,1706.0
202,Shri.City Union.,12995.31,1338.09
203,L&T Technology,12942.25,2399.38
204,Rain Industries,12655.17,3050.81
205,Torrent Power,12599.37,2754.64
206,Dilip Buildcon,12526.06,1942.12
207,TI Financial,12507.91,886.68
208,JM Financial,12382.64,837.73
210,Reliance Power,12033.99,2494.65
212,Syngene Intl.,11950.0,1871.1420000000003
213,Abbott India,11924.12,881.49
214,Hatsun AgroProd.,11896.52,1012.94
215,Symphony,11882.55,217.63
216,Gujarat Gas,11759.77,1571.33
218,Aditya Bir. Fas.,11718.17,1855.0
219,Ajanta Pharma,11651.8,587.05
220,P I Inds.,11564.22,537.74
221,City Union Bank,11554.4,2043.7059999999997
222,Varun Beverages,11498.3,1125.958
223,Mindtree,11438.78,1377.7
224,Prestige Estates,11353.13,1272.3
225,Future Consumer,11203.15,1204.67
226,Sundram Fasten.,11202.53,1204.67
227,Sanofi India,11182.45,1204.67
228,Guj.St.Petronet,11064.74,1511.58
229,Godrej Agrovet,10918.75,1477.0459999999998
230,Finolex Cables,10900.75,1477.0459999999998
231,Bombay Burmah,10864.53,2776.5199999999995
232,SRF,10842.62,1397.06
233,GE T&D India,10778.42,1438.55
234,Alembic Pharma,10764.29,2776.52
235,SPARC,10755.13,2776.5199999999995
236,GMR Infra.,10653.44,2072.29
237,HEG,10630.76,2776.52
238,Trent,10589.27,2917.1339999999996
239,Engineers India,10565.56,2917.1339999999996
240,Avanti Feeds,10558.13,2917.1339999999996
241,Pfizer,10508.48,3170.5740000000005
242,Escorts,10450.56,1205.03
244,Blue Dart Exp.,10422.45,3170.5740000000005
245,Indbull.RealEst.,10338.4,2100.13
246,ERIS Lifescience,10289.81,3170.5739999999996
247,Arvind Ltd,10247.7,2705.75
248,Sundaram Clayton,10074.36,2957.082
249,Hexaware Tech.,9885.05,1004.83
255,SKF India,9569.14,2302.232
256,Delta Corp,9531.57,2302.232
258,TV18 Broadcast,9463.27,2236.066
259,Minda Inds.,9457.04,1056.16
260,Solar Inds.,9317.76,2236.066
261,Kajaria Ceramics,9306.54,661.16
262,Astral Poly,9162.14,528.54
263,Bata India,9145.38,674.0
264,Phoenix Mills,9097.33,416.61
267,BASF India,8778.35,1278.74
268,DCM Shriram,8681.95,1783.73
269,Infibeam Incorp.,8646.54,213.48
270,Aegis Logistics,8613.86,1442.08
271,Mahindra CIE,8587.04,2321.488
273,SpiceJet,8458.24,2081.95
274,Thomas Cook (I),8440.65,3005.45
275,Guj Fluorochem,8439.77,968.97
276,Wockhardt,8428.58,1005.3
277,Akzo Nobel,8389.47,711.99
278,I D F C,8380.86,2789.58
279,Security & Intel,8247.08,1537.72
280,Asahi India Glas,8183.96,640.38
281,TTK Prestige,8153.33,457.97
282,ITI,8124.6,250.97
283,Karur Vysya Bank,8065.7,1422.32
284,Vardhman Textile,8023.74,1647.98
285,Fortis Health.,7966.43,1156.61
286,Ipca Labs.,7943.03,859.21
287,Sheela Foam,7815.74,532.21
288,IRB Infra.Devl.,7812.73,1296.19
289,Atul,7789.01,803.68
290,Finolex Inds.,7784.17,722.72
291,Dish TV,7765.91,740.77
292,Rel. Comm.,7702.01,1144.0
293,Dr Lal Pathlabs,7550.78,262.7
294,OCL India,7453.05,859.24
295,NCC,7439.01,2780.26
296,Relaxo Footwear,7251.91,457.5
297,J K Cements,7230.76,1126.11
298,G N F C,7208.38,1590.89
299,Cochin Shipyard,7154.99,615.04
301,Birla Corpn.,7137.67,1389.32
302,Future Lifestyle,7009.13,1188.97
303,Century Ply.,6966.23,509.93
304,Blue Star,6952.99,981.3
305,Kalpataru Power,6950.23,1417.37
306,Suzlon Energy,6942.31,1193.06
307,Cyient,6921.97,983.3
308,Hind.Copper,6902.14,440.14
309,Guj Pipavav Port,6864.85,162.68
310,Carborundum Uni.,6838.18,611.59
311,Can Fin Homes,6811.5,392.1
312,Sadbhav Engg.,6795.06,2153.34
313,Advanta,6742.41,361.68
314,Capital First,6710.63,987.64
315,Lak. Mach. Works,6654.81,542.42
316,Himadri Specialt,6646.41,500.08
317,Coffee Day Enter,6601.62,965.3
318,PVR,6591.31,557.25
319,Chambal Fert.,6542.79,2330.1
320,Vijaya Bank,6531.58,3135.23
321,Welspun India,6520.67,1397.95
322,CEAT,6476.26,1574.15
323,Strides Shasun,6469.51,749.04
324,Narayana Hrudaya,6379.12,553.84
325,Jyothy Lab.,6324.62,431.21
326,Johnson Con. Hit,6209.11,377.4
327,Prism Cement,6176.23,1425.6599999999999
328,Tata Elxsi,6153.54,345.54
330,D B Corp,6059.97,598.58
331,Jain Irrigation,6019.89,1889.63
332,Persistent Sys,5996.4,791.89
334,Sunteck Realty,5865.04,201.5
335,Raymond,5863.1,1484.24
336,MOIL,5840.29,299.8
337,Bombay Dyeing,5823.25,619.93
338,GE Shipping Co,5802.66,584.42
